volume,open,high,low,close,caldt
84366746,413.21,417.49,413.18,416.58,2021-05-14 00:00:00-04:00
66193502,415.39,416.39,413.36,415.48,2021-05-17 00:00:00-04:00
61288866,415.8,416.06,411.77,412.02,2021-05-18 00:00:00-04:00
108349346,406.92,411.05,405.33,410.78,2021-05-19 00:00:00-04:00
79754477,411.8,416.625,411.67,415.15,2021-05-20 00:00:00-04:00
77590498,416.87,418.2,414.45,414.98,2021-05-21 00:00:00-04:00
52606963,417.34,420.32,417.08,419.17,2021-05-24 00:00:00-04:00
58365218,420.33,420.71,417.62,418.33,2021-05-25 00:00:00-04:00
43861538,418.87,419.61,417.76,419.04,2021-05-26 00:00:00-04:00
58438340,420.17,420.72,418.9851,419.18,2021-05-27 00:00:00-04:00
59768917,420.97,421.25,419.79,420.19,2021-05-28 00:00:00-04:00
55475267,422.57,422.72,419.2,419.67,2021-06-01 00:00:00-04:00
50203715,420.37,421.23,419.29,420.39,2021-06-02 00:00:00-04:00
59499680,417.85,419.99,416.28,418.83,2021-06-03 00:00:00-04:00
57471475,420.75,422.92,418.8422,422.44,2021-06-04 00:00:00-04:00
52952730,422.59,422.78,421.19,422.26,2021-06-07 00:00:00-04:00
47948293,423.11,423.21,420.32,422.3,2021-06-08 00:00:00-04:00
49531038,423.18,423.26,421.41,421.67,2021-06-09 00:00:00-04:00
52143649,422.96,424.63,421.55,423.61,2021-06-10 00:00:00-04:00
46822811,424.2,424.43,422.82,424.31,2021-06-11 00:00:00-04:00
43360599,424.43,425.37,423.1,425.26,2021-06-14 00:00:00-04:00
52379036,425.42,425.46,423.54,424.48,2021-06-15 00:00:00-04:00
82346591,424.63,424.87,419.92,422.11,2021-06-16 00:00:00-04:00
92368532,421.67,423.02,419.32,421.97,2021-06-17 00:00:00-04:00
120543104,417.09,417.8281,414.7,414.92,2021-06-18 00:00:00-04:00
74576631,416.8,421.06,415.93,420.86,2021-06-21 00:00:00-04:00
59929167,420.85,424.0,420.08,423.11,2021-06-22 00:00:00-04:00
51215292,423.19,424.05,422.51,422.6,2021-06-23 00:00:00-04:00
46318393,424.89,425.55,424.62,425.1,2021-06-24 00:00:00-04:00
59584242,425.9,427.0943,425.55,426.61,2021-06-25 00:00:00-04:00
